Height (cm),Weight (kg),BMI,Category
153.6,99.8,42.300754123263886,Obese
161.9,103.0,39.29556406493153,Obese
154.9,109.6,45.6780671509264,Obese
165.5,84.1,30.7043564772136,Obese
197.0,88.7,22.85552320338066,Normal
168.0,65.1,23.065476190476193,Normal
159.2,86.1,33.97168000808061,Obese
183.1,87.2,26.00996670903229,Overweight
195.0,106.6,28.034188034188034,Overweight
151.7,99.8,43.36699997262404,Obese
183.4,98.9,29.40340520568113,Overweight
164.5,52.1,19.253332840605687,Normal
168.7,88.2,30.99120194211533,Obese
161.9,119.5,45.59048452193513,Obese
195.3,102.7,26.925635171014488,Overweight
194.3,108.4,28.71333784870879,Overweight
180.2,84.6,26.053182984499898,Overweight
150.8,108.2,47.5800153381787,Obese
197.3,107.2,27.538521176275047,Overweight
173.4,87.1,28.96809717848738,Overweight
174.4,89.8,29.524556013803554,Overweight
188.6,53.6,15.068895213826499,Underweight
180.7,109.7,33.59621272374634,Obese
156.1,59.4,24.37702141525435,Normal
155.3,71.1,29.47994638049696,Overweight
162.6,102.1,38.61754484703519,Obese
153.5,71.1,30.175386476249084,Obese
191.6,85.4,23.263061091958285,Normal
152.0,60.8,26.31578947368421,Overweight
197.3,70.4,18.08499898143436,Underweight
155.6,101.4,41.881166526787425,Obese
192.9,79.3,21.311240591006655,Normal
161.9,89.4,34.107023567037665,Obese
183.0,75.0,22.395413419331717,Normal
167.1,115.1,41.22137021840163,Obese
153.4,109.9,46.703235994553694,Obese
186.5,57.9,16.646421666223432,Underweight
190.4,118.4,32.66012287267848,Obese
164.9,106.7,39.239467770128066,Obese
189.2,61.1,17.068641079162738,Underweight
172.9,52.9,17.695616003125664,Underweight
186.5,112.5,32.34408354836159,Obese
182.3,103.0,30.993019348972062,Obese
196.5,69.3,17.9476720470835,Underweight
166.4,116.6,42.110646264792884,Obese
155.5,113.4,46.89777814538726,Obese
189.4,64.9,18.091923698357174,Underweight
190.6,77.9,21.44330214741321,Normal
151.3,53.3,23.283558356766143,Normal
156.3,71.6,29.308599495122525,Overweight
191.6,84.7,23.072380263335674,Normal
180.0,54.4,16.790123456790123,Underweight
172.6,73.6,24.70564698584393,Normal
191.3,60.6,16.559327068296838,Underweight
162.3,114.6,43.50584196901517,Obese
166.2,108.1,39.13484833345642,Obese
188.7,103.6,29.094838783420105,Overweight
179.6,104.2,32.303907222682426,Obese
160.4,51.0,19.82263791891841,Normal
194.7,92.2,24.321985096057336,Normal
199.7,91.4,22.918704546554437,Normal
157.2,119.5,48.3573865806836,Obese
164.8,94.3,34.72140399660665,Obese
187.5,95.5,27.164444444444445,Overweight
156.2,76.7,31.43643610001296,Obese
173.2,85.0,28.334995653078316,Overweight
160.9,77.7,30.012966992302857,Obese
183.2,113.8,33.90715280028985,Obese
168.0,64.2,22.746598639455787,Normal
192.4,60.5,16.34350646824659,Underweight
172.9,119.8,40.07438179913903,Obese
176.8,115.2,36.85428226285293,Obese
194.4,91.5,24.211883351115176,Normal
188.4,104.1,29.32843793527796,Overweight
190.4,57.8,15.943877551020405,Underweight
150.6,103.8,45.766469315301876,Obese
182.9,82.5,24.66190029358124,Normal
173.3,107.9,35.9272783937876,Obese
194.2,86.1,22.82993633072809,Normal
151.9,100.9,43.729611447883535,Obese
192.2,73.8,19.97788897058107,Normal
156.8,101.2,41.16123490212411,Obese
179.6,69.0,21.391262940163987,Normal
186.3,116.8,33.65248450703575,Obese
159.9,96.9,37.898921347418124,Obese
158.3,83.5,33.32150785609417,Obese
184.1,92.4,27.262419374492705,Overweight
158.4,93.2,37.14544434241404,Obese
175.7,109.8,35.56794854892164,Obese
163.1,89.1,33.49421332017122,Obese
151.6,89.4,38.89906085309905,Obese
153.4,91.1,38.713965414957606,Obese
156.6,104.1,42.448975597343946,Obese
177.3,84.4,26.84880591208161,Overweight
160.6,64.9,25.162489977652307,Overweight
192.5,79.3,21.399898802496203,Normal
151.4,76.3,33.28685679584119,Obese
183.0,54.1,16.154558213144615,Underweight
154.5,106.0,44.4067406080791,Obese
194.5,108.5,28.680751514991307,Overweight
152.1,68.7,29.696024234030613,Overweight
157.2,72.7,29.41909627126107,Overweight
163.9,72.5,26.98858401508978,Overweight
155.0,86.2,35.87929240374609,Obese
195.6,82.8,21.641762956829385,Normal
156.6,112.1,45.711144711452995,Obese
154.1,84.6,35.62583774410121,Obese
153.0,62.5,26.699132812166262,Overweight
190.3,102.3,28.24867337547347,Overweight
182.5,110.8,33.26702946143742,Obese
187.8,92.7,26.283824475089055,Overweight
185.2,103.5,30.17577168340572,Obese
198.4,65.7,16.690987578043707,Underweight
188.4,113.0,31.835864425421807,Obese
169.1,55.3,19.339173787131305,Normal
164.5,112.9,41.72171358357739,Obese
164.6,75.5,27.8668121400383,Overweight
165.6,56.3,20.52994235571425,Normal
159.3,62.7,24.707908776982155,Normal
169.7,119.2,41.391633959057714,Obese
155.5,76.1,31.471965757177863,Obese
164.9,104.2,38.32008005292732,Obese
158.8,83.4,33.0723499292553,Obese
196.0,90.4,23.53186172428155,Normal
173.1,94.6,31.57162972018392,Obese
191.1,92.2,25.246986449049693,Overweight
179.4,119.9,37.254119702861885,Obese
179.9,88.6,27.376088438978968,Overweight
150.2,93.5,41.44496197701778,Obese
150.6,74.5,32.847803121290845,Obese
163.9,66.8,24.86672292700686,Normal
153.0,81.4,34.77295057456534,Obese
163.9,93.0,34.61983880556345,Obese
180.9,72.0,22.001655624585748,Normal
185.5,85.0,24.701942008558497,Normal
180.6,107.0,32.80562269977398,Obese
177.7,79.7,25.239657994717092,Overweight
154.1,90.5,38.110381983938055,Obese
156.4,114.7,46.891045976936304,Obese
152.1,93.6,40.459212056845196,Obese
190.6,71.8,19.764173224445035,Normal
166.2,89.9,32.54600245307801,Obese
170.1,110.3,38.12122827081349,Obese
181.2,60.7,18.48724958456988,Underweight
198.4,107.6,27.335620447450573,Overweight
180.8,57.0,17.437250371994672,Underweight
155.9,117.0,48.13861947491051,Obese
195.1,61.2,16.07817988698511,Underweight
161.5,82.6,31.669046957221862,Obese
189.5,116.6,32.46983799890003,Obese
187.4,64.6,18.394726920882167,Underweight
170.8,94.9,32.53048061471296,Obese
176.1,101.6,32.76234626123908,Obese
161.4,52.7,20.23035735947387,Normal
185.1,91.6,26.73515068146907,Overweight
199.0,103.2,26.059947981111588,Overweight
171.4,117.9,40.13212626063893,Obese
199.9,59.7,14.939936201217165,Underweight
162.6,110.4,41.756875133326986,Obese
156.0,94.1,38.66699539776462,Obese
199.9,100.9,25.250243931370385,Overweight
168.8,101.8,35.727521843624345,Obese
193.0,100.7,27.034282799538243,Overweight
151.5,114.6,49.929745449792506,Obese
181.4,58.6,17.808324084755466,Underweight
150.2,69.8,30.939661454500975,Obese
175.2,113.2,36.87892245783033,Obese
186.8,82.0,23.49958044651495,Normal
181.1,78.4,23.904472362130807,Normal
181.4,87.7,26.651706864045295,Overweight
166.3,71.7,25.925948692656014,Overweight
181.7,91.8,27.80563557837085,Overweight
192.7,111.6,30.053895035963688,Obese
174.8,77.7,25.42951997444611,Overweight
177.1,64.5,20.564710128454514,Normal
191.9,60.9,16.537404268388222,Underweight
156.1,98.8,40.54629151224125,Obese
180.1,55.1,16.987292826707108,Underweight
173.7,55.3,18.328439673084272,Underweight
170.9,117.3,40.16186635924978,Obese
170.4,96.7,33.30330181401398,Obese
181.6,63.2,19.163965922102122,Normal
194.9,94.3,24.82492896726979,Normal
