Age,Gender,Weight (kg),Height (cm),Waist (cm),Hip (cm),Neck (cm),Body Fat Percentage
33,Male,56.5,185.7,114.5,134.9,38.1,33.47877437918385
28,Male,71.1,167.7,60.8,87.1,30.9,2.1745329963549693
20,Male,64.8,193.7,75.4,89.1,39.2,4.735900705943095
51,Female,88.8,198.5,61.5,93.6,39.4,7.762882798306919
42,Female,79.6,164.4,111.7,107.4,33.9,49.123130774787285
43,Male,100.6,159.3,71.9,132.8,32.0,13.76241484942318
20,Male,75.4,191.6,106.2,119.0,42.0,25.804343728419497
37,Male,60.8,179.1,62.0,83.3,41.6,-12.25692806838913
48,Male,66.5,194.2,83.9,104.4,44.2,7.879466531999242
18,Male,88.2,167.4,81.5,123.4,36.7,16.50171961848838
43,Male,81.5,179.1,79.8,99.3,34.7,14.757663517036349
42,Female,53.0,178.9,94.2,109.6,34.5,38.40757051256668
28,Male,64.7,159.4,83.5,122.7,32.7,22.603791273871025
33,Female,70.8,199.6,84.2,137.9,35.2,40.59866335851814
37,Female,100.8,183.2,71.4,100.0,31.9,23.5891423367529
59,Female,101.1,183.2,84.9,124.7,43.1,36.09823425731645
55,Male,98.9,164.8,104.5,124.8,35.2,33.44743055227411
19,Male,107.3,182.5,79.4,112.6,38.2,10.96817316289247
46,Female,111.2,191.6,111.4,128.8,31.0,51.05779068734921
24,Female,55.0,190.7,70.0,112.2,34.2,25.9299201001686
57,Male,84.5,196.0,110.8,117.5,33.4,32.27940548118818
62,Male,60.4,157.4,96.9,130.2,43.3,25.004092883861972
42,Male,74.8,159.1,85.4,108.6,32.7,24.03788728988161
21,Male,96.4,185.5,62.1,108.7,41.9,-13.481806696807041
60,Male,92.1,190.4,67.6,115.5,34.2,2.4431066478053367
51,Female,59.0,183.7,84.9,128.3,33.2,41.69456565160567
42,Male,103.0,157.1,112.7,87.6,30.1,41.97987940845212
25,Female,105.1,179.7,117.4,126.3,34.4,54.23605945166662
49,Female,59.7,187.4,115.8,97.7,31.1,41.743211394279456
35,Female,93.1,156.8,76.4,84.3,35.4,22.962462565006263
57,Female,116.2,152.8,75.4,127.5,30.8,47.05356415650857
28,Male,56.6,162.7,104.4,88.7,31.0,36.11707437758861
54,Female,61.5,154.5,116.4,92.8,35.3,47.31313806414698
56,Female,103.6,157.4,68.0,122.4,36.7,37.25041645465922
53,Male,73.6,160.2,82.7,113.9,35.0,20.11150406306217
27,Male,116.9,176.5,110.2,135.2,30.4,36.815764961045375
23,Female,93.7,157.8,89.5,137.3,32.7,54.756340232691514
62,Male,83.8,180.2,110.5,98.8,44.1,28.985384559799
33,Male,73.6,164.5,67.0,99.5,38.6,0.9506605142944977
42,Male,66.7,165.5,106.6,92.6,42.8,30.101594055758426
51,Male,95.5,198.4,83.4,111.1,30.8,17.335782723062493
48,Male,91.4,190.3,101.6,102.7,30.1,30.133112442456536
