Age,Gender,Weight (kg),Height (cm),Activity Level,Goal,Daily Caloric Need
56,Male,82.3,152.6,low,maintenance,1802.1
46,Male,119.9,165.1,low,maintenance,2407.0499999999997
32,Female,108.7,178.4,moderate,maintenance,2915.55
60,Female,101.8,180.9,high,muscle_gain,2953.34375
25,Female,111.0,153.5,low,muscle_gain,2140.0499999999997
38,Female,94.4,183.2,moderate,muscle_gain,2693.9
56,Male,109.1,176.4,low,muscle_gain,2302.2
36,Female,68.3,191.4,high,maintenance,2691.9375
40,Male,56.8,161.1,low,muscle_gain,1655.85
28,Male,93.1,159.8,low,weight_loss,2153.7
28,Female,80.4,189.7,moderate,weight_loss,2617.36875
41,Male,79.9,185.2,low,weight_loss,2107.7999999999997
53,Male,86.9,189.6,moderate,muscle_gain,2780.7000000000003
57,Male,75.3,189.1,high,muscle_gain,2896.03125
41,Male,93.8,155.2,high,weight_loss,2989.0
20,Female,52.1,163.9,low,muscle_gain,1541.25
39,Female,117.9,163.0,moderate,maintenance,2854.7125
19,Male,114.7,196.7,high,muscle_gain,4001.15625
41,Female,115.5,174.4,low,weight_loss,2254.7999999999997
61,Male,75.6,155.6,low,weight_loss,1714.2
47,Female,87.2,164.5,low,muscle_gain,1804.95
55,Female,116.8,193.6,low,muscle_gain,2330.4
19,Female,113.2,192.4,low,weight_loss,2494.2
38,Female,105.3,195.0,moderate,weight_loss,2977.1625
50,Female,78.5,169.4,low,muscle_gain,1719.3
29,Male,89.5,182.1,low,muscle_gain,2271.75
39,Female,105.5,163.9,low,weight_loss,2068.0499999999997
61,Male,69.1,159.0,low,weight_loss,1661.7
42,Male,93.9,151.1,low,weight_loss,2014.05
44,Female,108.0,161.2,low,weight_loss,2047.8
59,Male,99.5,180.2,low,weight_loss,2197.5
45,Female,83.6,195.2,high,weight_loss,2922.5
33,Male,90.9,156.7,high,weight_loss,3024.65625
32,Male,119.2,195.9,low,muscle_gain,2713.65
64,Female,92.1,167.3,moderate,maintenance,2302.71875
61,Female,105.0,171.3,low,maintenance,1985.55
20,Female,100.9,168.2,moderate,muscle_gain,2788.8375
54,Female,99.1,170.4,moderate,maintenance,2518.75
24,Male,100.1,163.0,moderate,muscle_gain,2952.3625
38,Female,81.8,184.9,moderate,muscle_gain,2515.06875
26,Male,83.2,187.9,moderate,muscle_gain,2916.13125
56,Male,82.8,191.2,high,muscle_gain,3059.0
35,Male,52.3,167.1,low,maintenance,1676.85
21,Male,66.9,188.2,high,muscle_gain,3054.1875
42,Male,60.8,181.9,high,weight_loss,2694.78125
31,Male,112.1,197.9,low,muscle_gain,2649.45
26,Female,69.2,171.2,high,maintenance,2574.25
43,Male,59.7,199.6,low,maintenance,1961.3999999999999
19,Male,58.4,187.0,low,maintenance,1995.3
37,Male,99.0,188.8,low,maintenance,2388.0
45,Female,50.4,151.3,low,weight_loss,1276.35
64,Female,83.0,174.9,moderate,muscle_gain,2235.2937500000003
24,Male,58.3,176.4,moderate,weight_loss,2434.275
61,Female,109.5,152.0,high,muscle_gain,2763.25
25,Male,117.1,165.6,low,muscle_gain,2503.2
64,Female,117.1,197.8,low,weight_loss,2311.5
52,Male,80.9,171.3,low,weight_loss,1949.55
31,Female,95.1,159.3,low,maintenance,1956.75
