User_ID,Age,Gender,Fitness Level,Goals,Equipment Available,Workout Plan,Calories Burned
1,29,Female,Advanced,General Fitness,Barbell,Plank,479
2,41,Female,Beginner,Weight Loss,Dumbbells,Bicep Curls,418
3,20,Male,Advanced,Muscle Gain,Resistance Bands,Bicep Curls,222
4,39,Female,Intermediate,Muscle Gain,None,Deadlifts,201
5,19,Male,Advanced,Muscle Gain,None,Plank,245
6,41,Male,Intermediate,Weight Loss,Dumbbells,Push-Ups,191
7,25,Male,Advanced,General Fitness,Dumbbells,Push-Ups,400
8,54,Male,Intermediate,Muscle Gain,Dumbbells,Deadlifts,457
9,18,Female,Beginner,Muscle Gain,None,Push-Ups,280
10,54,Male,Advanced,Muscle Gain,Resistance Bands,Plank,137
11,63,Male,Beginner,General Fitness,Barbell,Plank,305
12,21,Male,Advanced,Weight Loss,None,Squats,329
13,25,Male,Beginner,Muscle Gain,Barbell,Squats,472
14,42,Male,Intermediate,Weight Loss,None,Push-Ups,321
15,49,Female,Intermediate,Muscle Gain,None,Squats,281
16,33,Female,Advanced,Muscle Gain,Resistance Bands,Squats,113
17,48,Female,Beginner,General Fitness,Barbell,Deadlifts,237
18,22,Female,Advanced,General Fitness,Barbell,Bicep Curls,132
19,60,Female,Beginner,General Fitness,Dumbbells,Push-Ups,475
20,30,Female,Intermediate,Weight Loss,None,Squats,129
21,25,Male,Advanced,Muscle Gain,Dumbbells,Bicep Curls,157
22,28,Male,Beginner,General Fitness,None,Deadlifts,351
23,20,Female,Advanced,Muscle Gain,Dumbbells,Bicep Curls,420
24,50,Male,Beginner,General Fitness,Resistance Bands,Push-Ups,374
25,21,Male,Beginner,Muscle Gain,Resistance Bands,Squats,467
26,63,Male,Advanced,Muscle Gain,None,Squats,118
27,39,Male,Beginner,Weight Loss,Dumbbells,Deadlifts,395
28,51,Male,Advanced,Muscle Gain,Dumbbells,Bicep Curls,488
29,63,Male,Beginner,Muscle Gain,Barbell,Plank,343
30,56,Female,Beginner,Muscle Gain,Barbell,Squats,260
31,60,Female,Intermediate,General Fitness,Barbell,Plank,411
32,52,Male,Intermediate,Muscle Gain,Barbell,Plank,348
33,34,Female,Advanced,Weight Loss,Dumbbells,Squats,346
34,49,Female,Beginner,Weight Loss,Dumbbells,Plank,312
35,43,Male,Advanced,General Fitness,None,Bicep Curls,471
36,32,Female,Intermediate,Muscle Gain,Dumbbells,Squats,258
37,49,Male,Intermediate,Weight Loss,Barbell,Plank,371
38,21,Male,Intermediate,General Fitness,Dumbbells,Push-Ups,267
39,47,Female,Intermediate,General Fitness,Resistance Bands,Push-Ups,188
40,36,Female,Beginner,Weight Loss,Resistance Bands,Push-Ups,217
41,59,Male,Intermediate,Weight Loss,Barbell,Bicep Curls,296
42,34,Male,Intermediate,General Fitness,Resistance Bands,Bicep Curls,252
43,34,Male,Intermediate,General Fitness,Resistance Bands,Plank,194
44,29,Male,Intermediate,Weight Loss,Barbell,Plank,434
45,32,Male,Intermediate,General Fitness,Dumbbells,Deadlifts,237
46,46,Female,Beginner,General Fitness,Resistance Bands,Plank,202
47,28,Male,Advanced,Weight Loss,None,Squats,351
48,44,Female,Advanced,Weight Loss,Barbell,Squats,460
49,31,Female,Beginner,Weight Loss,Barbell,Bicep Curls,175
50,32,Male,Advanced,General Fitness,Dumbbells,Bicep Curls,222
51,30,Male,Intermediate,Muscle Gain,None,Bicep Curls,417
52,51,Female,Intermediate,General Fitness,Barbell,Bicep Curls,221
53,22,Female,Beginner,General Fitness,None,Push-Ups,106
54,23,Female,Intermediate,Weight Loss,Resistance Bands,Push-Ups,102
55,64,Male,Intermediate,General Fitness,Dumbbells,Plank,253
56,46,Female,Beginner,Weight Loss,None,Push-Ups,153
57,60,Female,Beginner,Muscle Gain,Resistance Bands,Deadlifts,421
58,50,Female,Beginner,Weight Loss,Resistance Bands,Push-Ups,387
59,41,Female,Beginner,Weight Loss,Resistance Bands,Bicep Curls,138
60,61,Male,Beginner,Weight Loss,Barbell,Plank,112
61,46,Male,Intermediate,Weight Loss,Resistance Bands,Squats,421
62,50,Female,Intermediate,Weight Loss,None,Deadlifts,430
63,19,Female,Advanced,Muscle Gain,None,Deadlifts,476
64,51,Male,Advanced,General Fitness,Dumbbells,Squats,327
65,47,Male,Beginner,General Fitness,Dumbbells,Squats,466
66,35,Male,Intermediate,Weight Loss,Dumbbells,Bicep Curls,352
67,39,Female,Beginner,Weight Loss,None,Push-Ups,437
68,20,Female,Advanced,General Fitness,Dumbbells,Push-Ups,285
69,33,Female,Intermediate,Muscle Gain,Dumbbells,Deadlifts,114
70,27,Female,Beginner,Weight Loss,Dumbbells,Push-Ups,186
71,32,Male,Beginner,Weight Loss,Barbell,Push-Ups,305
72,29,Female,Beginner,Muscle Gain,Barbell,Squats,414
73,62,Female,Advanced,Weight Loss,Barbell,Squats,193
74,29,Male,Intermediate,General Fitness,Dumbbells,Squats,428
75,56,Male,Intermediate,Weight Loss,Barbell,Squats,353
